stage,model,sensitive_attr,group,n,base_rate_true_at_risk,accuracy,balanced_accuracy,precision_at_risk,recall_at_risk,f1_at_risk,tp,tn,fp,fn,tpr_recall_at_risk,fpr,fnr,tnr,selection_rate_pred_at_risk,roc_auc
early_25pct,LogisticRegression,gender,F,3696,0.5219155844155844,0.7713744588744589,0.7744870755627844,0.8325153374233129,0.7034733022291343,0.7625737566732228,1357,1494,273,572,0.7034733022291343,0.15449915110356535,0.2965266977708657,0.8455008488964346,0.44101731601731603,0.8610291846105507
early_25pct,LogisticRegression,gender,M,4444,0.5303780378037803,0.799054905490549,0.8008490038440279,0.8370165745856354,0.7713194739075095,0.802826230956061,1818,1733,354,539,0.7713194739075095,0.16962146621945376,0.22868052609249045,0.8303785337805463,0.48874887488748875,0.8863394401246256
early_25pct,LogisticRegression,age_band,0-35,5778,0.5449982692973347,0.787815853236414,0.7903544520947137,0.8342022940563086,0.7621467132422991,0.7965482907401261,2400,2152,477,749,0.7621467132422991,0.18143780905287182,0.23785328675770084,0.8185621909471282,0.4979231568016615,0.8799753005325339
early_25pct,LogisticRegression,age_band,35-55,2302,0.4826238053866203,0.7841007819287577,0.7807411723540112,0.8388520971302428,0.684068406840684,0.7535944471988101,760,1045,146,351,0.684068406840684,0.12258606213266163,0.3159315931593159,0.8774139378673383,0.3935708079930495,0.8604701780001678
early_25pct,LogisticRegression,age_band,55<=,60,0.43333333333333335,0.75,0.7296380090497737,0.7894736842105263,0.5769230769230769,0.6666666666666666,15,30,4,11,0.5769230769230769,0.11764705882352941,0.4230769230769231,0.8823529411764706,0.31666666666666665,0.8778280542986425
early_25pct,LogisticRegression,highest_education,A Level or Equivalent,3438,0.48196625945317045,0.7946480511925538,0.7917334351704794,0.8384341637010676,0.7109233554616777,0.7694317439581972,1178,1554,227,479,0.7109233554616777,0.1274564851207187,0.28907664453832227,0.8725435148792813,0.4086678301337987,0.874591552961133
early_25pct,LogisticRegression,highest_education,HE Qualification,1176,0.44387755102040816,0.7899659863945578,0.7788762346655418,0.8160919540229885,0.6800766283524904,0.741901776384535,355,574,80,167,0.6800766283524904,0.12232415902140673,0.31992337164750956,0.8776758409785933,0.36989795918367346,0.8660058350029878
early_25pct,LogisticRegression,highest_education,Lower Than A Level,3333,0.6006600660066007,0.7755775577557755,0.774155596469646,0.8345784418356457,0.7812187812187812,0.8070175438596491,1564,1021,310,438,0.7812187812187812,0.2329075882794891,0.21878121878121878,0.7670924117205109,0.5622562256225623,0.8677438264215123
early_25pct,LogisticRegression,highest_education,No Formal quals,107,0.7476635514018691,0.8130841121495327,0.8136574074074074,0.9285714285714286,0.8125,0.8666666666666667,65,22,5,15,0.8125,0.18518518518518517,0.1875,0.8148148148148148,0.6542056074766355,0.8912037037037037
early_25pct,LogisticRegression,highest_education,Post Graduate Qualification,86,0.29069767441860467,0.8023255813953488,0.719016393442623,0.7222222222222222,0.52,0.6046511627906976,13,56,5,12,0.52,0.08196721311475409,0.48,0.9180327868852459,0.20930232558139536,0.8767213114754098
early_25pct,LogisticRegression,imd_band,0-10%,866,0.6501154734411085,0.7771362586605081,0.7531523134551465,0.8257042253521126,0.8330373001776199,0.8293545534924845,469,204,99,94,0.8330373001776199,0.32673267326732675,0.1669626998223801,0.6732673267326733,0.6558891454965358,0.8657064640744714
early_25pct,LogisticRegression,imd_band,10-20,856,0.6016355140186916,0.7885514018691588,0.7826580872932267,0.8326693227091634,0.8116504854368932,0.8220255653883972,418,257,84,97,0.8116504854368932,0.24633431085043989,0.1883495145631068,0.7536656891495601,0.5864485981308412,0.8665319021723656
early_25pct,LogisticRegression,imd_band,20-30%,918,0.5860566448801743,0.7854030501089324,0.7952748972803756,0.8763796909492274,0.7379182156133829,0.8012108980827447,397,324,56,141,0.7379182156133829,0.14736842105263157,0.2620817843866171,0.8526315789473684,0.4934640522875817,0.8791919389551948
early_25pct,LogisticRegression,imd_band,30-40%,920,0.5271739130434783,0.782608695652174,0.7861120985898803,0.8433734939759037,0.7216494845360825,0.7777777777777778,350,370,65,135,0.7216494845360825,0.14942528735632185,0.27835051546391754,0.8505747126436781,0.45108695652173914,0.8720796302879487
early_25pct,LogisticRegression,imd_band,40-50%,832,0.5408653846153846,0.7848557692307693,0.788848167539267,0.8430379746835444,0.74,0.7881656804733728,333,320,62,117,0.74,0.16230366492146597,0.26,0.837696335078534,0.47475961538461536,0.8768993600930773
early_25pct,LogisticRegression,imd_band,50-60%,741,0.5020242914979757,0.8070175438596491,0.8072383949645948,0.8459214501510574,0.7526881720430108,0.7965860597439545,280,318,51,92,0.7526881720430108,0.13821138211382114,0.24731182795698925,0.8617886178861789,0.446693657219973,0.8847072879330944
early_25pct,LogisticRegression,imd_band,60-70%,710,0.4887323943661972,0.7845070422535211,0.7825239558275974,0.8368055555555556,0.6945244956772334,0.7590551181102362,241,316,47,106,0.6945244956772334,0.12947658402203857,0.30547550432276654,0.8705234159779615,0.4056338028169014,0.8701502846119038
early_25pct,LogisticRegression,imd_band,70-80%,683,0.48755490483162517,0.780380673499268,0.779004719004719,0.8060200668896321,0.7237237237237237,0.7626582278481012,241,292,58,92,0.7237237237237237,0.1657142857142857,0.27627627627627627,0.8342857142857143,0.4377745241581259,0.8704418704418704
early_25pct,LogisticRegression,imd_band,80-90%,709,0.47531734837799716,0.8039492242595204,0.7986543186241664,0.8694029850746269,0.6913946587537092,0.7702479338842976,233,337,35,104,0.6913946587537092,0.09408602150537634,0.3086053412462908,0.9059139784946236,0.37799717912552894,0.8822468970358317
early_25pct,LogisticRegression,imd_band,90-100%,593,0.40809443507588533,0.7740303541315345,0.7520131383767747,0.7727272727272727,0.6322314049586777,0.6954545454545454,153,306,45,89,0.6322314049586777,0.1282051282051282,0.3677685950413223,0.8717948717948718,0.33389544688026984,0.8577029031574487
early_25pct,LogisticRegression,imd_band,nan,312,0.3333333333333333,0.7788461538461539,0.7283653846153846,0.7058823529411765,0.5769230769230769,0.6349206349206349,60,183,25,44,0.5769230769230769,0.1201923076923077,0.4230769230769231,0.8798076923076923,0.2724358974358974,0.8225776627218936
early_25pct,RandomForest,gender,F,3696,0.5219155844155844,0.8014069264069265,0.8044704144850161,0.8645515558267236,0.7345775012960083,0.7942825112107623,1417,1545,222,512,0.7345775012960083,0.12563667232597622,0.2654224987039917,0.8743633276740238,0.44345238095238093,0.8819865262078256
early_25pct,RandomForest,gender,M,4444,0.5303780378037803,0.819081908190819,0.8214030366376983,0.8630201028517999,0.7831989817564701,0.8211743772241993,1846,1794,293,511,0.7831989817564701,0.1403929084810733,0.2168010182435299,0.8596070915189267,0.4813231323132313,0.9019790167184415
early_25pct,RandomForest,age_band,0-35,5778,0.5449982692973347,0.8096227068189685,0.8133757617873583,0.8644610458911419,0.7716735471578279,0.8154362416107382,2430,2248,381,719,0.7716735471578279,0.14492202358311146,0.22832645284217212,0.8550779764168885,0.48650051921079956,0.8942769058167318
early_25pct,RandomForest,age_band,35-55,2302,0.4826238053866203,0.8149435273675065,0.8122106921019558,0.8624338624338624,0.7335733573357336,0.7928015564202334,815,1061,130,296,0.7335733573357336,0.109151973131822,0.2664266426642664,0.890848026868178,0.4105125977410947,0.8890803438026422
early_25pct,RandomForest,age_band,55<=,60,0.43333333333333335,0.8,0.7873303167420814,0.8181818181818182,0.6923076923076923,0.75,18,30,4,8,0.6923076923076923,0.11764705882352941,0.3076923076923077,0.8823529411764706,0.36666666666666664,0.8744343891402715
early_25pct,RandomForest,highest_education,A Level or Equivalent,3438,0.48196625945317045,0.8176265270506108,0.8152145441878448,0.8551724137931035,0.7483403741701871,0.7981976182813003,1240,1571,210,417,0.7483403741701871,0.11791128579449747,0.25165962582981294,0.8820887142055025,0.42175683536940084,0.8938015673387399
early_25pct,RandomForest,highest_education,HE Qualification,1176,0.44387755102040816,0.8078231292517006,0.7991845056065239,0.8231441048034934,0.7222222222222222,0.7693877551020408,377,573,81,145,0.7222222222222222,0.12385321100917432,0.2777777777777778,0.8761467889908257,0.38945578231292516,0.8832384266582305
early_25pct,RandomForest,highest_education,Lower Than A Level,3333,0.6006600660066007,0.8028802880288028,0.8089699556641705,0.8793006204173717,0.7787212787212787,0.8259602649006622,1559,1117,214,443,0.7787212787212787,0.16078136739293764,0.22127872127872128,0.8392186326070623,0.531953195319532,0.8896655560817845
early_25pct,RandomForest,highest_education,No Formal quals,107,0.7476635514018691,0.8411214953271028,0.820138888888889,0.92,0.8625,0.8903225806451613,69,21,6,11,0.8625,0.2222222222222222,0.1375,0.7777777777777778,0.7009345794392523,0.9004629629629629
early_25pct,RandomForest,highest_education,Post Graduate Qualification,86,0.29069767441860467,0.872093023255814,0.8272131147540984,0.8181818181818182,0.72,0.7659574468085106,18,57,4,7,0.72,0.06557377049180328,0.28,0.9344262295081968,0.2558139534883721,0.881311475409836
early_25pct,RandomForest,imd_band,0-10%,866,0.6501154734411085,0.8071593533487298,0.8105358493220547,0.8928571428571429,0.7992895204262878,0.8434864104967198,450,249,54,113,0.7992895204262878,0.1782178217821782,0.20071047957371227,0.8217821782178217,0.581986143187067,0.8916166927527567
early_25pct,RandomForest,imd_band,10-20,856,0.6016355140186916,0.7990654205607477,0.8027901944594711,0.8688172043010752,0.7844660194174757,0.8244897959183674,404,280,61,111,0.7844660194174757,0.17888563049853373,0.21553398058252426,0.8211143695014663,0.5432242990654206,0.8799703897730833
early_25pct,RandomForest,imd_band,20-30%,918,0.5860566448801743,0.8159041394335512,0.8259342594404226,0.9037199124726477,0.7676579925650557,0.8301507537688442,413,336,44,125,0.7676579925650557,0.11578947368421053,0.23234200743494424,0.8842105263157894,0.49782135076252726,0.8973537468205831
early_25pct,RandomForest,imd_band,30-40%,920,0.5271739130434783,0.8054347826086956,0.8078800805782675,0.8525345622119815,0.7628865979381443,0.8052230685527747,370,371,64,115,0.7628865979381443,0.1471264367816092,0.23711340206185566,0.8528735632183908,0.4717391304347826,0.8875364379665838
early_25pct,RandomForest,imd_band,40-50%,832,0.5408653846153846,0.8112980769230769,0.8152705061082024,0.8690176322418136,0.7666666666666667,0.8146399055489965,345,330,52,105,0.7666666666666667,0.13612565445026178,0.23333333333333334,0.8638743455497382,0.47716346153846156,0.8996276905177429
early_25pct,RandomForest,imd_band,50-60%,741,0.5020242914979757,0.8191632928475033,0.8193898068012938,0.8606060606060606,0.7634408602150538,0.8091168091168092,284,323,46,88,0.7634408602150538,0.12466124661246612,0.23655913978494625,0.8753387533875339,0.44534412955465585,0.9073272721974531
early_25pct,RandomForest,imd_band,60-70%,710,0.4887323943661972,0.8140845070422535,0.8125292749343052,0.8571428571428571,0.7435158501440923,0.7962962962962963,258,320,43,89,0.7435158501440923,0.1184573002754821,0.2564841498559078,0.8815426997245179,0.423943661971831,0.9003739252625813
early_25pct,RandomForest,imd_band,70-80%,683,0.48755490483162517,0.7994143484626647,0.797940797940798,0.831081081081081,0.7387387387387387,0.7821939586645469,246,300,50,87,0.7387387387387387,0.14285714285714285,0.26126126126126126,0.8571428571428571,0.4333821376281113,0.872835692835693
early_25pct,RandomForest,imd_band,80-90%,709,0.47531734837799716,0.8363892806770099,0.8324997606968507,0.8850174216027874,0.7537091988130564,0.8141025641025641,254,339,33,83,0.7537091988130564,0.08870967741935484,0.24629080118694363,0.9112903225806451,0.40479548660084624,0.9020452442487477
early_25pct,RandomForest,imd_band,90-100%,593,0.40809443507588533,0.8128161888701517,0.7988921852558216,0.7990867579908676,0.7231404958677686,0.7592190889370932,175,307,44,67,0.7231404958677686,0.12535612535612536,0.2768595041322314,0.8746438746438746,0.36930860033726814,0.8800122436486074
