stage,model,accuracy,balanced_accuracy,precision_at_risk,recall_at_risk,f1_at_risk,roc_auc
early_25pct,LogisticRegression,0.7864864864864864,0.7890479157469765,0.8350867964229353,0.7407839477368175,0.7851137487636004,0.8749599533703463
early_25pct,RandomForest,0.8110565110565111,0.8138442560843635,0.8636844891476972,0.7613159122725152,0.8092757936507936,0.89321413341515
early_25pct,XGBoost,0.8121621621621622,0.8142534400145681,0.8548262548262548,0.7748483434437704,0.8128748011259331,0.8950208932620198
full_100pct,LogisticRegression,0.923955773955774,0.924832869644013,0.9451323136683661,0.908306112925805,0.9263533610945865,0.9747025773441778
full_100pct,RandomForest,0.9432432432432433,0.9448613302963681,0.9763328350772297,0.9143723751749884,0.9443373493975904,0.9838697139962336
full_100pct,XGBoost,0.9484029484029484,0.949538703992991,0.9726161369193154,0.9281381241250584,0.9498567335243553,0.9863261191685994
